Effect.size,Citation,Enemy,Focal species,Associated species,Human.Parasite,Macroparasite,Route,Generalist,Manipulative,Proportion.Focal,Standardized.density,g,var_g
1,"B. F. Allan et al., Ecological correlates of risk and incidence of West Nile virus in the United States. Oecologia 158, 699-708 (2009).",West Nile Virus,,Bird (Shannon) diversity,Yes,No,Complex,Yes,No,,,-2.533936652,0.607537259
2,"S. Carver et al., A temporal dilution effect: hantavirus infection in deer mice and the intermittent presence of voles in Montana. Oecologia 166, 713-721 (2011).",Sin Nombre virus,Deer mice,voles,Yes,No,Direct,No,No,,,-0.599500605,0.084745416
3,"S. Carver et al., A temporal dilution effect: hantavirus infection in deer mice and the intermittent presence of voles in Montana. Oecologia 166, 713-721 (2011).",Sin Nombre virus,Deer mice,voles,Yes,No,Direct,No,No,,,-0.435259571,0.024723511
4,"S. Carver et al., A temporal dilution effect: hantavirus infection in deer mice and the intermittent presence of voles in Montana. Oecologia 166, 713-721 (2011).",Sin Nombre virus,Deer mice,voles,Yes,No,Direct,No,No,,,-0.279425466,0.02406058
5,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Manihot esculenta,No,Yes,Direct,No,Yes,0.5,0.5,-0.857777216,0.424058193
6,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Manihot esculenta,No,Yes,Direct,No,Yes,0.5,0.5,-0.560170071,0.39768374
7,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Vigna unguiculata,No,Yes,Direct,No,Yes,0.5,0.5,-1.143064781,0.459734152
8,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Vigna unguiculata,No,Yes,Direct,No,Yes,0.5,0.5,-0.969898124,0.436865732
9,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Glycine max,No,Yes,Direct,No,Yes,0.5,0.5,-0.75380169,0.413585395
10,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Glycine max,No,Yes,Direct,No,Yes,0.5,0.5,-0.711985,0.409754499
11,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Manihot esculenta,No,Yes,Direct,No,Yes,0.5,0.5,-0.694238735,0.408194797
12,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Manihot esculenta,No,Yes,Direct,No,Yes,0.5,0.5,-0.405822973,0.388365101
13,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Vigna unguiculata,No,Yes,Direct,No,Yes,0.5,0.5,-0.783429106,0.416431906
14,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Vigna unguiculata,No,Yes,Direct,No,Yes,0.5,0.5,-0.58935437,0.399780495
15,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Glycine max,No,Yes,Direct,No,Yes,0.5,0.5,-0.517760494,0.394826579
16,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Glycine max,No,Yes,Direct,No,Yes,0.5,0.5,-0.543123895,0.396508306
17,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Manihot esculenta,No,Yes,Direct,No,Yes,0.5,0.5,-0.192792876,0.380394902
18,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Manihot esculenta,No,Yes,Direct,No,Yes,0.5,0.5,-0.380838763,0.387136719
19,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Vigna unguiculata,No,Yes,Direct,No,Yes,0.5,0.5,-0.398488843,0.387996419
20,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Vigna unguiculata,No,Yes,Direct,No,Yes,0.5,0.5,-0.097760109,0.378669149
21,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Glycine max,No,Yes,Direct,No,Yes,0.5,0.5,-0.285805385,0.383177129
22,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Glycine max,No,Yes,Direct,No,Yes,0.5,0.5,-0.398488843,0.387996419
23,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Manihot esculenta,No,Yes,Direct,No,Yes,0.5,0.5,-0.6478013,0.404299741
24,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Manihot esculenta,No,Yes,Direct,No,Yes,0.5,0.5,-0.457828381,0.39117226
25,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Vigna unguiculata,No,Yes,Direct,No,Yes,0.5,0.5,-0.749547469,0.413185672
26,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Vigna unguiculata,No,Yes,Direct,No,Yes,0.5,0.5,-0.437731396,0.390047382
27,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Glycine max,No,Yes,Direct,No,Yes,0.5,0.5,-0.678685624,0.40686022
28,"A. Chabi-Olaye, C. Nolte, F. Schulthess, C. Borgemeister, Abundance, dispersion and parasitism of the stem borer Busseola fusca (Lepidoptera : Noctuidae) in maize in the humid forest zone of southern Cameroon. Bulletin of Entomological Research 95, 169-177 (2005).",Busseola fusca,Zea mays,Glycine max,No,Yes,Direct,No,Yes,0.5,0.5,-0.480633619,0.392509876
29,"E. Chernin, Interference with capacity of Schistosoma mansoni miracidia to infect molluscan host. Journal of Parasitology 54, 509-& (1968).",Schistosoma mansoni,B. glabrata,Helisoma caribaeum,Yes,Yes,Complex,No,Yes,0.5,1,-2.474821714,0.886892185
30,"E. Chernin, Interference with capacity of Schistosoma mansoni miracidia to infect molluscan host. Journal of Parasitology 54, 509-& (1968).",Schistosoma mansoni,B. glabrata,Helisoma anceps,Yes,Yes,Complex,No,Yes,0.5,1,-2.483678568,0.635725693
31,"C. A. Clay, E. M. Lehmer, S. S. Jeor, M. D. Dearing, Sin Nombre Virus and Rodent Species Diversity: A Test of the Dilution and Amplification Hypotheses. Plos One 4,  (2009).",Sin Nombre virus,Deer mice,Small mammals,Yes,No,Direct,Yes,No,,,-1.152174949,0.307069498
32,"C. Combes, H. Mone, Possible mechanisms of the decoy effect in Schistosoma mansoni transmission. International Journal for Parasitology 17, 971-975 (1987).",Schistosoma mansoni,B.glabrata,M.conuarietis,Yes,Yes,Complex,No,Yes,0.5,1,-0.673102586,0.026178682
33,"N. A. Evans, D. M. Gordon, Experimental observations on the specificity of Echinoparyphium recurvatum toard 2nd intermediate hosts. Zeitschrift Fur Parasitenkunde-Parasitology Research 69, 217-222 (1983).",Echinoparyphium recurvatum,L. peregra,L. stagnalis,No,Yes,Complex,No,Yes,0.2,1,-1.458273971,0.104928427
34,"N. A. Evans, D. M. Gordon, Experimental observations on the specificity of Echinoparyphium recurvatum toard 2nd intermediate hosts. Zeitschrift Fur Parasitenkunde-Parasitology Research 69, 217-222 (1983).",Echinoparyphium recurvatum,L. peregra,G. albus,No,Yes,Complex,No,Yes,0.2,1,-0.216291471,0.089591373
35,"N. A. Evans, D. M. Gordon, Experimental observations on the specificity of Echinoparyphium recurvatum toard 2nd intermediate hosts. Zeitschrift Fur Parasitenkunde-Parasitology Research 69, 217-222 (1983).",Echinoparyphium recurvatum,L. peregra,"P. fontinalis, G. albus, L. stagnalis",No,Yes,Complex,No,Yes,0.2,1,-1.771134773,0.120717554
36,"J. E. Foley, N. C. Nieto, P. Foley, Emergence of Tick-Borne Granulocytic Anaplasmosis Associated with Habitat Type and Forest Change in Northern California. American Journal of Tropical Medicine and Hygiene 81, 1132-1140 (2009).",Anaplasma phagocytophilum,many,small mammals,Yes,No,Complex,Yes,No,,,-0.326899128,0.245292275
37,"L. Hantsch, U. Braun, M. Scherer-Lorenzen, H. Bruelheide, Species richness and species identity effects on occurrence of foliar fungal pathogens in a tree diversity experiment. Ecosphere 4,  (2013).",Erysiphe alphitoides,Quercus,"Four species total: Quercus [petraea and robur], Fagus sylvatica, Picea abies, Psuedotsuga menziesii",No,No,Direct,No,Yes,0.25,0.25,-1.457765023,0.218902799
38,"L. Hantsch, U. Braun, M. Scherer-Lorenzen, H. Bruelheide, Species richness and species identity effects on occurrence of foliar fungal pathogens in a tree diversity experiment. Ecosphere 4,  (2013).",Erysiphe hypophylla,Quercus,"Four species total: Quercus [petraea and robur], Fagus sylvatica, Picea abies, Psuedotsuga menziesii",No,No,Direct,No,Yes,0.25,0.25,-0.956783339,0.187555708
39,"L. Hantsch, U. Braun, M. Scherer-Lorenzen, H. Bruelheide, Species richness and species identity effects on occurrence of foliar fungal pathogens in a tree diversity experiment. Ecosphere 4,  (2013).",Phyllactinia orbiculata,Fagus sylvatica,"Four species total: Quercus [petraea and robur], Fagus sylvatica, Picea abies, Psuedotsuga menziesii",No,No,Direct,No,Yes,0.25,,-4.621301743,0.458408215
40,"P. T. J. Johnson, R. B. Hartson, D. J. Larson, D. R. Sutherland, Diversity and disease: community structure drives parasite transmission and host fitness. Ecology Letters 11, 1017-1026 (2008).",Ribeiroia ondatrae,Bufo americanus,Hyla versicolor,No,Yes,Complex,Yes,Yes,0.5,1,-0.74057043,0.06951668
41,"P. T. J. Johnson, R. B. Hartson, D. J. Larson, D. R. Sutherland, Diversity and disease: community structure drives parasite transmission and host fitness. Ecology Letters 11, 1017-1026 (2008).",Ribeiroia ondatrae,Bufo americanus,Hyla versicolor,No,Yes,Complex,Yes,Yes,0.5,0.5,-1.197067705,0.076887735
42,"P. T. J. Johnson, R. B. Hartson, D. J. Larson, D. R. Sutherland, Diversity and disease: community structure drives parasite transmission and host fitness. Ecology Letters 11, 1017-1026 (2008).",Ribeiroia ondatrae,Bufo americanus,Hyla versicolor,No,Yes,Complex,Yes,Yes,0.5,1,-1.062086373,0.074346538
43,"P. T. J. Johnson, R. B. Hartson, D. J. Larson, D. R. Sutherland, Diversity and disease: community structure drives parasite transmission and host fitness. Ecology Letters 11, 1017-1026 (2008).",Ribeiroia ondatrae,Bufo americanus,Hyla versicolor,No,Yes,Complex,Yes,Yes,0.5,0.5,-0.380942234,0.066155617
44,"P. T. J. Johnson, R. B. Hartson, D. J. Larson, D. R. Sutherland, Diversity and disease: community structure drives parasite transmission and host fitness. Ecology Letters 11, 1017-1026 (2008).",Ribeiroia ondatrae,Bufo americanus,Hyla versicolor,No,Yes,Complex,Yes,Yes,0.5,0.5,-1.499898229,0.518677752
45,"P. T. J. Johnson, R. B. Hartson, D. J. Larson, D. R. Sutherland, Diversity and disease: community structure drives parasite transmission and host fitness. Ecology Letters 11, 1017-1026 (2008).",Ribeiroia ondatrae,Bufo americanus,Rana cascadens,No,Yes,Complex,Yes,Yes,0.5,0.5,0.599979042,0.400570262
46,"P. T. J. Johnson, R. B. Hartson, D. J. Larson, D. R. Sutherland, Diversity and disease: community structure drives parasite transmission and host fitness. Ecology Letters 11, 1017-1026 (2008).",Ribeiroia ondatrae,Bufo americanus,Hyla versicolor and Rana cascadens,No,Yes,Complex,Yes,Yes,0.33,0.333333333,-1.623145536,0.542734423
47,"P. T. J. Johnson, D. L. Preston, J. T. Hoverman, B. E. LaFonte, Host and parasite diversity jointly control disease risk in complex communities. Proceedings of the National Academy of Sciences of the United States of America 110, 16916-16921 (2013).",Ribeiroia ondatrae,P. regilla,2 others,No,Yes,Complex,Yes,Yes,0.333333333,0.333333333,-4.065988261,0.429875497
48,"P. T. J. Johnson, D. L. Preston, J. T. Hoverman, B. E. LaFonte, Host and parasite diversity jointly control disease risk in complex communities. Proceedings of the National Academy of Sciences of the United States of America 110, 16916-16921 (2013).",Ribeiroia ondatrae,P. regilla,2 others,No,Yes,Complex,Yes,Yes,0.333333333,0.333333333,-2.943180558,0.289340698
49,"P. T. J. Johnson, D. L. Preston, J. T. Hoverman, B. E. LaFonte, Host and parasite diversity jointly control disease risk in complex communities. Proceedings of the National Academy of Sciences of the United States of America 110, 16916-16921 (2013).",Ribeiroia ondatrae,P. regilla,2 others,No,Yes,Complex,Yes,Yes,0.333333333,0.333333333,-0.52176834,0.139518026
50,"P. T. J. Johnson, D. L. Preston, J. T. Hoverman, B. E. LaFonte, Host and parasite diversity jointly control disease risk in complex communities. Proceedings of the National Academy of Sciences of the United States of America 110, 16916-16921 (2013).",Ribeiroia ondatrae,P. regilla,2 others,No,Yes,Complex,Yes,Yes,0.333333333,0.333333333,0.018286667,0.13466253
51,"P. T. J. Johnson, D. L. Preston, J. T. Hoverman, B. E. LaFonte, Host and parasite diversity jointly control disease risk in complex communities. Proceedings of the National Academy of Sciences of the United States of America 110, 16916-16921 (2013).",Ribeiroia ondatrae,P. regilla,"Lithobates catesbeianus, Anaxyrus boreaus, Rana luiteiventris",No,No,Complex,Yes,Yes,0.25,0.25,-3.032244343,0.413318307
52,"P. T. J. Johnson, D. L. Preston, J. T. Hoverman, B. E. LaFonte, Host and parasite diversity jointly control disease risk in complex communities. Proceedings of the National Academy of Sciences of the United States of America 110, 16916-16921 (2013).",Ribeiroia ondatrae,P. regilla,"Lithobates catesbeianus, Anaxyrus boreaus, Rana luiteiventris",No,No,Complex,Yes,Yes,0.25,0.25,-1.712709818,0.256790037
53,"P. T. J. Johnson, D. L. Preston, J. T. Hoverman, B. E. LaFonte, Host and parasite diversity jointly control disease risk in complex communities. Proceedings of the National Academy of Sciences of the United States of America 110, 16916-16921 (2013).",Ribeiroia ondatrae,P. regilla,"Lithobates catesbeianus, Anaxyrus boreaus, Rana luiteiventris",No,No,Complex,Yes,Yes,0.25,0.25,-1.598581446,0.24734223
54,"P. T. J. Johnson, D. L. Preston, J. T. Hoverman, B. E. LaFonte, Host and parasite diversity jointly control disease risk in complex communities. Proceedings of the National Academy of Sciences of the United States of America 110, 16916-16921 (2013).",Ribeiroia ondatrae,P. regilla,"Lithobates catesbeianus, Anaxyrus boreaus, Rana luiteiventris",No,No,Complex,Yes,Yes,0.25,0.25,-1.067041151,0.211920084
55,"Z. R. Khan et al., Management of witchweed, Striga hermonthica, and stemborers in sorghum, Sorghum bicolor, through intercropping with greenleaf desmodium, Desmodium intortum. International Journal of Pest Management 52, 297-302 (2006).",Chilo partellus,Sorghum bicolor,Desmodium intortum,No,Yes,Direct,No,Yes,0.5,0.5,-0.692387716,0.466616729
56,"Z. R. Khan et al., Management of witchweed, Striga hermonthica, and stemborers in sorghum, Sorghum bicolor, through intercropping with greenleaf desmodium, Desmodium intortum. International Journal of Pest Management 52, 297-302 (2006).",Chilo partellus,Sorghum bicolor,Desmodium intortum,No,Yes,Direct,No,Yes,0.5,0.5,-2.117860556,0.800444444
57,"Z. R. Khan et al., Management of witchweed, Striga hermonthica, and stemborers in sorghum, Sorghum bicolor, through intercropping with greenleaf desmodium, Desmodium intortum. International Journal of Pest Management 52, 297-302 (2006).",Chilo partellus,Sorghum bicolor,Desmodium intortum,No,Yes,Direct,No,Yes,0.5,0.5,-1.841117543,0.709142817
58,"Z. R. Khan et al., Management of witchweed, Striga hermonthica, and stemborers in sorghum, Sorghum bicolor, through intercropping with greenleaf desmodium, Desmodium intortum. International Journal of Pest Management 52, 297-302 (2006).",Chilo partellus,Sorghum bicolor,Desmodium intortum,No,Yes,Direct,No,Yes,0.5,0.5,-1.126130005,0.532347399
59,"Z. R. Khan et al., Management of witchweed, Striga hermonthica, and stemborers in sorghum, Sorghum bicolor, through intercropping with greenleaf desmodium, Desmodium intortum. International Journal of Pest Management 52, 297-302 (2006).",Chilo partellus,Sorghum bicolor,Desmodium intortum,No,Yes,Direct,No,Yes,0.5,0.5,-2.509407789,0.951427288
60,"Z. R. Khan et al., Management of witchweed, Striga hermonthica, and stemborers in sorghum, Sorghum bicolor, through intercropping with greenleaf desmodium, Desmodium intortum. International Journal of Pest Management 52, 297-302 (2006).",Chilo partellus,Sorghum bicolor,Desmodium intortum,No,Yes,Direct,No,Yes,0.5,0.5,-1.244689052,0.555770903
